                     Time-step                Free-energy: Bulk           Free-energy: Interface               Free-energy: Total   
------------------------------   ------------------------------   ------------------------------   ------------------------------   
                             0              -0.378003240078E+04               0.450921243256E+04               0.729180031780E+03   
                          1000              -0.617806146818E+03               0.341347473879E+03              -0.276458672939E+03   
                          2000              -0.740351616885E+03               0.360714041225E+03              -0.379637575659E+03   
                          3000              -0.968054849204E+03               0.450281965941E+03              -0.517772883263E+03   
                          4000              -0.129384141933E+04               0.590978511082E+03              -0.702862908244E+03   
                          5000              -0.172762652744E+04               0.785348956290E+03              -0.942277571145E+03   
                          6000              -0.227544236221E+04               0.103726226819E+04              -0.123818009403E+04   
                          7000              -0.293133866546E+04               0.134629440417E+04              -0.158504426129E+04   
                          8000              -0.367352196198E+04               0.170463910613E+04              -0.196888285585E+04   
                          9000              -0.446597576333E+04               0.209640443968E+04              -0.236957132365E+04   
                         10000              -0.526575681674E+04               0.249994484552E+04              -0.276581197122E+04   
                         11000              -0.603295830489E+04               0.289260682630E+04              -0.314035147859E+04   
                         12000              -0.673857046274E+04               0.325571949149E+04              -0.348285097125E+04   
                         13000              -0.736721845847E+04               0.357753469827E+04              -0.378968376019E+04   
                         14000              -0.791532712244E+04               0.385339669311E+04              -0.406193042933E+04   
                         15000              -0.838728350587E+04               0.408410150252E+04              -0.430318200335E+04   
                         16000              -0.879167280701E+04               0.427375847037E+04              -0.451791433664E+04   
                         17000              -0.913851136089E+04               0.442794955952E+04              -0.471056180137E+04   
                         18000              -0.943758199455E+04               0.455249126725E+04              -0.488509072731E+04   
                         19000              -0.969754546893E+04               0.465274563263E+04              -0.504479983630E+04   
                         20000              -0.992560400205E+04               0.473331156904E+04              -0.519229243301E+04   
                         21000              -0.101275859883E+05               0.479798603469E+04              -0.532959995357E+04   
                         22000              -0.103081597521E+05               0.484984686182E+04              -0.545831289026E+04   
                         23000              -0.104710530512E+05               0.489133983981E+04              -0.557971321139E+04   
                         24000              -0.106193246966E+05               0.492440062470E+04              -0.569492407188E+04   
                         25000              -0.107555427472E+05               0.495059427898E+04              -0.580494846824E+04   
                         26000              -0.108818083980E+05               0.497119253664E+04              -0.591061586138E+04   
                         27000              -0.109997945498E+05               0.498721450826E+04              -0.601258004150E+04   
                         28000              -0.111108673778E+05               0.499949111723E+04              -0.611137626052E+04   
                         29000              -0.112161899029E+05               0.500874287418E+04              -0.620744702874E+04   
                         30000              -0.113167084095E+05               0.501562297979E+04              -0.630108542967E+04   
                         31000              -0.114130452194E+05               0.502068875066E+04              -0.639235646875E+04   
                         32000              -0.115054745089E+05               0.502433376854E+04              -0.648114074039E+04   
                         33000              -0.115940702221E+05               0.502676675781E+04              -0.656730346425E+04   
                         34000              -0.116788945575E+05               0.502806894918E+04              -0.665082560835E+04   
                         35000              -0.117600638126E+05               0.502826865090E+04              -0.673179516171E+04   
                         36000              -0.118377447899E+05               0.502739445162E+04              -0.681035033825E+04   
                         37000              -0.119121412704E+05               0.502550251455E+04              -0.688663875590E+04   
                         38000              -0.119834690933E+05               0.502267727199E+04              -0.696079182134E+04   
                         39000              -0.120519316095E+05               0.501901323419E+04              -0.703291837532E+04   
                         40000              -0.121177360339E+05               0.501460538830E+04              -0.710313064563E+04   
                         41000              -0.121811166404E+05               0.500955966623E+04              -0.717155697416E+04   
                         42000              -0.122422858083E+05               0.500398375530E+04              -0.723830205298E+04   
                         43000              -0.123013815710E+05               0.499795404461E+04              -0.730342752643E+04   
                         44000              -0.123584790192E+05               0.499150503366E+04              -0.736697398553E+04   
                         45000              -0.124136136466E+05               0.498463860803E+04              -0.742897503853E+04   
                         46000              -0.124668266708E+05               0.497734436652E+04              -0.748948230423E+04   
                         47000              -0.125182179205E+05               0.496962896482E+04              -0.754858895566E+04   
                         48000              -0.125679576634E+05               0.496153989186E+04              -0.760641777154E+04   
                         49000              -0.126162320968E+05               0.495316485089E+04              -0.766306724587E+04   
                         50000              -0.126631598868E+05               0.494459200003E+04              -0.771856788672E+04   
                         51000              -0.127088057335E+05               0.493587745664E+04              -0.777292827682E+04   
                         52000              -0.127532388773E+05               0.492705677561E+04              -0.782618210172E+04   
                         53000              -0.127965224875E+05               0.491816181187E+04              -0.787836067564E+04   
                         54000              -0.128386744672E+05               0.490921636802E+04              -0.792945809916E+04   
                         55000              -0.128796840732E+05               0.490022554849E+04              -0.797945852469E+04   
                         56000              -0.129195719762E+05               0.489118675424E+04              -0.802838522194E+04   
                         57000              -0.129583980866E+05               0.488210337125E+04              -0.807629471535E+04   
                         58000              -0.129962387728E+05               0.487299163869E+04              -0.812324713416E+04   
                         59000              -0.130331663301E+05               0.486388325421E+04              -0.816928307585E+04   
                         60000              -0.130692191412E+05               0.485481370790E+04              -0.821440543335E+04   
                         61000              -0.131043759857E+05               0.484579568112E+04              -0.825858030456E+04   
                         62000              -0.131385843680E+05               0.483680934905E+04              -0.830177501896E+04   
                         63000              -0.131718175879E+05               0.482782417127E+04              -0.834399341666E+04   
                         64000              -0.132040886928E+05               0.481881883506E+04              -0.838526985776E+04   
                         65000              -0.132354342362E+05               0.480978406346E+04              -0.842565017276E+04   
                         66000              -0.132659077934E+05               0.480072195536E+04              -0.846518583802E+04   
                         67000              -0.132955759883E+05               0.479164563744E+04              -0.850393035085E+04   
                         68000              -0.133245032341E+05               0.478257422139E+04              -0.854192901270E+04   
                         69000              -0.133527326472E+05               0.477352355395E+04              -0.857920909322E+04   
                         70000              -0.133802783309E+05               0.476449852838E+04              -0.861577980251E+04   
                         71000              -0.134071370723E+05               0.475549311205E+04              -0.865164396022E+04   
                         72000              -0.134333073751E+05               0.474649670592E+04              -0.868681066921E+04   
                         73000              -0.134587982456E+05               0.473749944434E+04              -0.872129880125E+04   
                         74000              -0.134836271513E+05               0.472849355688E+04              -0.875513359443E+04   
                         75000              -0.135078158619E+05               0.471947301219E+04              -0.878834284970E+04   
                         76000              -0.135313883724E+05               0.471043331484E+04              -0.882095505759E+04   
                         77000              -0.135543702010E+05               0.470137153220E+04              -0.885299866880E+04   
                         78000              -0.135767876548E+05               0.469228609464E+04              -0.888450156013E+04   
                         79000              -0.135986667343E+05               0.468317622146E+04              -0.891549051283E+04   
                         80000              -0.136200322166E+05               0.467404115851E+04              -0.894599105812E+04   
                         81000              -0.136409079316E+05               0.466487964928E+04              -0.897602828229E+04   
                         82000              -0.136613189376E+05               0.465569014463E+04              -0.900562879302E+04   
                         83000              -0.136812946298E+05               0.464647177880E+04              -0.903482285101E+04   
                         84000              -0.137008703292E+05               0.463722529999E+04              -0.906364502923E+04   
                         85000              -0.137200860038E+05               0.462795301930E+04              -0.909213298451E+04   
                         86000              -0.137389836560E+05               0.461865783596E+04              -0.912032582007E+04   
                         87000              -0.137576067538E+05               0.460934273729E+04              -0.914826401651E+04   
                         88000              -0.137760047802E+05               0.460001323916E+04              -0.917599154108E+04   
                         89000              -0.137942438530E+05               0.459068624916E+04              -0.920355760385E+04   
                         90000              -0.138124133597E+05               0.458140705818E+04              -0.923100630155E+04   
                         91000              -0.138305842758E+05               0.457225692592E+04              -0.925832734990E+04   
                         92000              -0.138487051020E+05               0.456331145099E+04              -0.928539365097E+04   
                         93000              -0.138666117356E+05               0.455458608872E+04              -0.931202564689E+04   
                         94000              -0.138841773266E+05               0.454604905627E+04              -0.933812827035E+04   
                         95000              -0.139013604470E+05               0.453765428396E+04              -0.936370616306E+04   
                         96000              -0.139181661806E+05               0.452935487723E+04              -0.938881130337E+04   
                         97000              -0.139346184783E+05               0.452110931937E+04              -0.941350915894E+04   
                         98000              -0.139507515810E+05               0.451288516071E+04              -0.943786642025E+04   
                         99000              -0.139666095763E+05               0.450466151588E+04              -0.946194806042E+04   
                        100000              -0.139822497946E+05               0.449643339703E+04              -0.948581639762E+04   
