28    0.8468564600115841 0.8178666059157628 6000.0    240004.0396252172	2758171 99
29    0.7459619435031115 0.7069794912108168 54000.0    10.41610595438115	2334121 160
30    0.5826243237314374 0.47718234188298236 53000.0    19.165104795784526	2460229 207
31    0.18182971189293295 0.175568906650659 55000.0    36.48647841933718	4600000 255
32    0.9451435217069885 0.20727939140060628 61000.0    14.037313922165115	900000 247
33    0.6491645750576565 0.6116545740764596 98000.0    10.614438986193534	2586148 173
34    0.46181529602273286 0.22467764825047773 8000.0    16.1744558100088	2000000 243
35    0.8694785336484951 0.6464370406311317 26000.0    10.571699579209282	2058842 162
36    0.1314234526970096 0.5528820205264295 87000.0    240004.0357283096	7700000 130
37    0.19233361112133057 0.48196355673279156 15000.0    36.48805341934652	7437618 199
38    0.85649135203437 0.21211553619130133 31000.0    18.1601795046822	1000000 242
39    0.3630732741216535 0.6072592878574379 17000.0    16.062995436677138	4563439 172
0    0.8684718252237904 0.7028550762685736 25000.0    8.845772215354172	2005600 162
1    0.8602547919014187 0.28840598275334506 34000.0    9.59905830060256	1390337 247
2    0.8293689449635794 0.3816428313184198 58000.0    10.196941270067297	1428712 241
3    0.4043616139603593 0.4583974597487548 25000.0    10.231711357774076	3533629 208
4    0.7459619435031115 0.7069794912108168 54000.0    10.41610595438115	2334121 160
5    0.40791223038018776 0.3689773954675625 56000.0    10.489961550897117	2843454 242
6    0.8694785336484951 0.6464370406311317 26000.0    10.571699579209282	2058842 162
7    0.6491645750576565 0.6116545740764596 98000.0    10.614438986193534	2586148 173
8    0.6595828617612836 0.31967394446633907 67000.0    10.701628964157305	1754659 245
9    0.43491981726984363 0.37482070022198233 13000.0    10.901272683164525	2690481 240
10    0.8788395110314771 0.6954780947464134 24282.0    13.64342030448708	1986781 162
11    0.8834440897563326 0.7246422004346469 26207.0    13.173150450788038	1988843 160
12    0.8586580115978331 0.7060009675289945 26170.0    10.871996458793722	2027807 162
13    0.9023168950331756 0.3023931799432679 33248.0    17.228669618787535	1307475 246
14    0.8491043234355017 0.2902212657233053 32663.0    15.412819712246321	1406683 246
15    0.8387288170713103 0.30214712538388633 35329.0    15.665397229515543	1406997 248
16    0.8556222532268993 0.364253215811722 60660.0    7.656238713339439	1347864 243
17    0.82189076202458 0.3637012915149644 56644.0    11.373006871469785	1402362 246
18    0.8051431198341878 0.38663467949945407 58577.0    14.028378367779485	1487369 237
19    0.4107221505780203 0.4469061695469231 25574.0    10.776414600054624	3426152 211
20    0.4243016549182419 0.4368958698334451 24352.0    23.838171263368476	3243827 214
21    0.39855902894996675 0.4468158164769348 25607.0    13.289986490586742	3530125 211
22    0.7226818229930575 0.6796360829349848 51870.0    11.386891137543861	2441544 160
23    0.7601113916641127 0.7342824431910441 56062.0    11.381260092432553	2345009 156
24    0.7294929305908264 0.7204706833968173 52788.0    13.985764163346524	2399102 159
25    0.4122378056116298 0.35277833709009426 55575.0    10.826933739070151	2773757 244
26    0.3943937479935163 0.38422789466067225 55382.0    11.754914572814727	3020536 236
27    0.4187606099783754 0.3585280996915034 55366.0    14.191202665679622	2739684 243
28    0.9074239860528897 0.6587793481876639 26885.0    15.655706499105861	1972168 160
29    0.9070524429786069 0.6320860805313698 25073.0    11.193732355523986	1944539 165
30    0.8279786971361928 0.6736820319076616 24716.0    7.11112787819475	2141090 161
31    0.6458712021047524 0.6067166064036233 95267.0    13.989423227762623	2561075 177
32    0.6618463727545303 0.6038594841691703 98689.0    12.260376705041848	2477436 178
33    0.6436800478529283 0.6007568085133309 94014.0    8.033921089218302	2523029 180
34    0.6796858844985881 0.3171136536486256 68441.0    15.756527626516224	1707167 247
35    0.6783558146854287 0.32598393889918803 68847.0    8.22859714555313	1696514 247
36    0.6596315260250587 0.32347529209906356 64839.0    10.620758090798965	1748342 247
37    0.4348006146595886 0.37590723590676045 13337.0    11.293480521764456	2696180 239
38    0.4466709778808698 0.3572176820231199 12723.0    16.26693079645074	2566117 243
39    0.44204533303148585 0.36634934464067 12425.0    14.216100006776275	2615142 241
0    0.8279786971361928 0.6736820319076616 24716.0    7.11112787819475	2141090 161
1    0.8556222532268993 0.364253215811722 60660.0    7.656238713339439	1347864 243
2    0.6436800478529283 0.6007568085133309 94014.0    8.033921089218302	2523029 180
3    0.6783558146854287 0.32598393889918803 68847.0    8.22859714555313	1696514 247
4    0.8684718252237904 0.7028550762685736 25000.0    8.845772215354172	2005600 162
5    0.8602547919014187 0.28840598275334506 34000.0    9.59905830060256	1390337 247
6    0.8293689449635794 0.3816428313184198 58000.0    10.196941270067297	1428712 241
7    0.4043616139603593 0.4583974597487548 25000.0    10.231711357774076	3533629 208
8    0.7459619435031115 0.7069794912108168 54000.0    10.41610595438115	2334121 160
9    0.40791223038018776 0.3689773954675625 56000.0    10.489961550897117	2843454 242
10    0.837862982081365 0.6666112429655396 23875.0    11.977597286907034	2126860 160
11    0.8422528689870048 0.6945648491102455 24068.0    10.899379908984514	2073995 161
12    0.818622459680978 0.676697348276624 24516.0    15.01501287520687	2160415 160
13    0.8974578486759046 0.38191887415896714 61029.0    8.511031844430295	1321052 241
14    0.8445318308971894 0.366545895918784 57669.0    14.032991213244332	1369142 246
15    0.8342121974382726 0.3816081102709776 60382.0    14.6076420106505	1420318 240
16    0.6640554559530876 0.5733832302464791 90042.0    12.650834376146094	2258745 194
17    0.637876168673151 0.5725144276597368 97803.0    18.589891484134494	2346294 195
18    0.6248781860599862 0.6086146445205246 98576.0    10.998012178691502	2662411 175
19    0.6890262315849243 0.3178120436075346 70385.0    6.8672254779472555	1682814 247
20    0.711807166796639 0.3106933372081808 67107.0    10.52406120741914	1641610 246
21    0.6686214157066173 0.31774779008906495 66201.0    12.033724978261446	1734283 245
22    0.8413683933035908 0.6756711854371182 24586.0    9.523151168256387	2103720 161
23    0.8849450477216924 0.7299987468205351 25237.0    7.383823022095387	1999425 157
24    0.8492980941398712 0.7162675628127099 26175.0    9.212588928350307	2054992 161
25    0.869377089649417 0.2757442169963605 35632.0    14.030275206134375	1378416 249
26    0.8317453764285604 0.3003263205878469 34077.0    9.58625339706091	1421739 247
27    0.8831331707257272 0.28023843792703973 34482.0    14.678686028454031	1358592 247
28    0.8655639499106722 0.38892947008571394 58648.0    10.070717725071482	1390795 239
29    0.8652095463508358 0.37317032634057457 56459.0    14.749633524644063	1348823 244
30    0.7897835218710253 0.39772770108372424 57113.0    11.49243880449911	1557956 232
31    0.40231018716694344 0.45469675687905525 24701.0    22.89882999733568	3538700 208
32    0.41226104714210865 0.4525555196023743 25696.0    19.27482764893943	3444107 209
33    0.4009453273089868 0.45023025514864473 25909.0    19.80772361261818	3529461 210
34    0.7686976614557626 0.7013172433767604 54921.0    15.344212047626963	2266672 160
35    0.7671934054777195 0.7209344497893956 51818.0    10.445305834437436	2282068 159
36    0.7460169808469987 0.7153864160222382 52485.0    21.32492845705592	2338470 161
37    0.4078004299961043 0.37004699249572703 54718.0    11.672028268349	2848422 240
38    0.4189336691467396 0.3516488012796275 58193.0    18.42028062900589	2728229 244
39    0.41459526691134974 0.36063810493045756 58028.0    13.478360186513452	2771914 244
0    0.6890262315849243 0.3178120436075346 70385.0    6.8672254779472555	1682814 247
1    0.8279786971361928 0.6736820319076616 24716.0    7.11112787819475	2141090 161
2    0.8849450477216924 0.7299987468205351 25237.0    7.383823022095387	1999425 157
3    0.8556222532268993 0.364253215811722 60660.0    7.656238713339439	1347864 243
4    0.6436800478529283 0.6007568085133309 94014.0    8.033921089218302	2523029 180
5    0.6783558146854287 0.32598393889918803 68847.0    8.22859714555313	1696514 247
6    0.8974578486759046 0.38191887415896714 61029.0    8.511031844430295	1321052 241
7    0.8684718252237904 0.7028550762685736 25000.0    8.845772215354172	2005600 162
8    0.8492980941398712 0.7162675628127099 26175.0    9.212588928350307	2054992 161
9    0.8413683933035908 0.6756711854371182 24586.0    9.523151168256387	2103720 161
10    0.6972517229305831 0.3144763722118615 67596.0    9.338443483071352	1668830 247
11    0.7009048932864617 0.32766359151455293 67965.0    13.517270100122394	1639812 245
12    0.6812401701103017 0.31923453049594036 68445.0    14.116995304502476	1699612 248
13    0.8684626626748946 0.7063544589275241 24565.0    14.016578894480766	2004892 162
14    0.8172465856271572 0.6779223167589509 23987.0    11.35707269777987	2161951 161
15    0.8072603602408812 0.7057797047773438 24473.0    12.266530915500315	2156937 161
16    0.9129575930129272 0.696736239350589 24517.0    9.874599766564838	1911463 162
17    0.8769657509346456 0.6956805296348294 24795.0    7.4998686923715	1990840 161
18    0.859095847428609 0.739547053817118 26324.0    13.762355433679492	2098830 154
19    0.8690810398294002 0.3551219710353284 62479.0    15.990864817086466	1317192 246
20    0.8978150385576372 0.34716755552902945 59941.0    15.781216051189213	1271686 246
21    0.8433440826742924 0.35505017439771236 60568.0    11.782670338793261	1357336 246
22    0.6235919599625962 0.5775217092015639 91899.0    10.640010155412286	2431481 192
23    0.6558894072561641 0.623957530031493 93555.0    16.955048740866413	2645422 167
24    0.6294691687165372 0.6122209678863569 91100.0    10.460387086668122	2671502 172
25    0.6855492227069856 0.31167240404309354 69624.0    11.764396846524523	1702599 246
26    0.6558746521957086 0.339457441228102 72138.0    9.168688708713391	1741817 245
27    0.6963966107985692 0.31675220102677454 70999.0    16.38558934960208	1666829 246
28    0.9366243637352045 0.389210783363168 62383.0    8.027117090573174	1286120 238
29    0.9362408646202385 0.37344024100538087 58072.0    18.084771485577892	1247023 243
30    0.8546225714891887 0.3980153781350453 58349.0    9.969521280642324	1440849 235
31    0.8640658521786697 0.6971808349689913 23850.0    10.269134202630665	2019248 162
32    0.8854379142805517 0.6938977027059207 25841.0    10.334263224890398	1973507 161
33    0.8611344603474697 0.690332403880167 25791.0    14.445697267628816	2033317 162
34    0.8751833314422051 0.710530926168279 27466.0    8.686742079679512	1990179 161
35    0.8734706948306764 0.7304058571967691 27264.0    9.169437179545742	2026966 157
36    0.8493607556625897 0.7247849351273062 26347.0    13.256026626711867	2068977 159
37    0.8411377914669179 0.6776298308740404 25104.0    9.499993619498342	2101031 161
38    0.8641014459955014 0.6439390741458993 24108.0    13.494317228746853	2069018 163
39    0.8551529657920701 0.6604002816036459 24050.0    11.672624340305545	2091281 161
0    0.6890262315849243 0.3178120436075346 70385.0    6.8672254779472555	1682814 247
1    0.8279786971361928 0.6736820319076616 24716.0    7.11112787819475	2141090 161
2    0.8849450477216924 0.7299987468205351 25237.0    7.383823022095387	1999425 157
3    0.8769657509346456 0.6956805296348294 24795.0    7.4998686923715	1990840 161
4    0.8556222532268993 0.364253215811722 60660.0    7.656238713339439	1347864 243
5    0.9366243637352045 0.389210783363168 62383.0    8.027117090573174	1286120 238
6    0.6436800478529283 0.6007568085133309 94014.0    8.033921089218302	2523029 180
7    0.6783558146854287 0.32598393889918803 68847.0    8.22859714555313	1696514 247
8    0.8974578486759046 0.38191887415896714 61029.0    8.511031844430295	1321052 241
9    0.8751833314422051 0.710530926168279 27466.0    8.686742079679512	1990179 161
10    0.6972517229305831 0.3144763722118615 72944.0    12.647619435524824	1668830 247
11    0.7009048932864617 0.32766359151455293 69831.0    11.23954000855359	1639812 247
12    0.6812401701103017 0.31923453049594036 72727.0    8.239626607613983	1699612 246
13    0.8684626626748946 0.7063544589275241 25623.0    17.559157823733933	2004892 161
14    0.8172465856271572 0.6779223167589509 24166.0    7.22721172253912	2161951 161
15    0.8072603602408812 0.7057797047773438 25844.0    21.62094994106521	2156937 161
16    0.9129575930129272 0.696736239350589 25719.0    12.112656539433166	1911463 161
17    0.8769657509346456 0.6956805296348294 26353.0    8.920320435654705	1990840 161
18    0.859095847428609 0.739547053817118 25115.0    13.416164961450047	2098830 153
19    0.8907602669783994 0.6782409328748923 23817.0    12.153795590479854	1983027 161
20    0.9202110353250955 0.6630489407327615 25143.0    15.637657735422035	1940796 161
21    0.8643813014089795 0.678103809794808 23699.0    10.055095537086862	2043766 161
22    0.828919833164202 0.3501652195974801 61274.0    13.766229739994095	1378192 247
23    0.8718517443194064 0.3783203679478017 62907.0    14.230145696491716	1350416 241
24    0.8367322092251125 0.37120420972311297 61426.0    12.707314376220047	1390555 244
25    0.9465564982661111 0.37212342712322627 65163.0    16.246525341724748	1230907 245
26    0.9055840099015365 0.40529756485857116 63176.0    12.01135839989917	1387210 231
27    0.961533782678687 0.37818848594183196 60527.0    16.068331083402843	1224165 240
28    0.6717712883772583 0.6122269515145938 90479.0    8.906048048881836	2503318 175
29    0.671496232864582 0.5874199536508407 96089.0    10.468721792267171	2322130 186
30    0.6129574759683342 0.6260765426536914 89410.0    15.61358521932206	2844273 168
31    0.6749143473312809 0.323352227766187 70379.0    10.492073356552323	1708937 246
32    0.6916078797839817 0.32182951216921835 71454.0    9.285325493289987	1669979 246
33    0.6726246625815153 0.32017592781902476 71535.0    9.049807867209797	1719797 246
34    0.9248109176891407 0.3788600593773839 58301.0    15.865813869587592	1274363 243
35    0.9230011654012791 0.38945751160959236 62562.0    13.919005480609993	1305856 239
36    0.8975240634428536 0.3864603966487047 62982.0    16.440207369339785	1333758 237
37    0.8749434616238682 0.7125906235274778 28714.0    9.574347589115744	1991739 161
38    0.8988300347734753 0.6771616677020645 27328.0    20.859250535424543	1966905 161
39    0.8895219115089046 0.6944721542714068 27294.0    11.569950309672878	1963874 161
0    0.6890262315849243 0.3178120436075346 70385.0    6.8672254779472555	1682814 247
1    0.8279786971361928 0.6736820319076616 24716.0    7.11112787819475	2141090 161
2    0.8172465856271572 0.6779223167589509 24166.0    7.22721172253912	2161951 161
3    0.8849450477216924 0.7299987468205351 25237.0    7.383823022095387	1999425 157
4    0.8769657509346456 0.6956805296348294 24795.0    7.4998686923715	1990840 161
5    0.8556222532268993 0.364253215811722 60660.0    7.656238713339439	1347864 243
6    0.9366243637352045 0.389210783363168 62383.0    8.027117090573174	1286120 238
7    0.6436800478529283 0.6007568085133309 94014.0    8.033921089218302	2523029 180
8    0.6783558146854287 0.32598393889918803 68847.0    8.22859714555313	1696514 247
9    0.6812401701103017 0.31923453049594036 72727.0    8.239626607613983	1699612 246
10    0.6972517229305831 0.3144763722118615 70998.0    17.491835327081333	1668830 246
11    0.7009048932864617 0.32766359151455293 68980.0    9.30831042863207	1639812 248
12    0.6812401701103017 0.31923453049594036 67310.0    13.507078754955039	1699612 245
13    0.8684626626748946 0.7063544589275241 23547.0    9.863176855375087	2004892 161
14    0.8172465856271572 0.6779223167589509 24299.0    21.163336997047946	2161951 161
15    0.8072603602408812 0.7057797047773438 25117.0    9.821445772453664	2156937 162
16    0.843116165950734 0.6470326799979971 24494.0    9.990637845181306	2123703 162
17    0.8098777065405875 0.646052282183001 23794.0    11.73996867340205	2209998 162
