                     Time-step                Free-energy: Bulk           Free-energy: Interface               Free-energy: Total   
------------------------------   ------------------------------   ------------------------------   ------------------------------   
                             0              -0.378003240078E+04               0.450921243256E+04               0.729180031780E+03   
                           100              -0.616791548799E+03               0.340441978937E+03              -0.276349569861E+03   
                           200              -0.739459859807E+03               0.360155787212E+03              -0.379304072595E+03   
                           300              -0.966853027423E+03               0.449648893057E+03              -0.517204134366E+03   
                           400              -0.129211528667E+04               0.590133805384E+03              -0.701981481285E+03   
                           500              -0.172521776183E+04               0.784204750179E+03              -0.941013011651E+03   
                           600              -0.227227529348E+04               0.103577288445E+04              -0.123650240903E+04   
                           700              -0.292746563247E+04               0.134447599107E+04              -0.158298964140E+04   
                           800              -0.366913938478E+04               0.170258254501E+04              -0.196655683978E+04   
                           900              -0.446138299573E+04               0.209426242441E+04              -0.236712057132E+04   
                          1000              -0.526126734374E+04               0.249788970113E+04              -0.276337764261E+04   
                          1100              -0.602881112943E+04               0.289077834781E+04              -0.313803278162E+04   
                          1200              -0.673488900280E+04               0.325419217888E+04              -0.348069682392E+04   
                          1300              -0.736402368764E+04               0.357631792204E+04              -0.378770576560E+04   
                          1400              -0.791257619871E+04               0.385245639420E+04              -0.406011980451E+04   
                          1500              -0.838490634539E+04               0.408338461094E+04              -0.430152173445E+04   
                          1600              -0.878959656337E+04               0.427321076371E+04              -0.451638579965E+04   
                          1700              -0.913667199193E+04               0.442752498530E+04              -0.470914700663E+04   
                          1800              -0.943592814098E+04               0.455215450120E+04              -0.488377363978E+04   
                          1900              -0.969603909019E+04               0.465247151670E+04              -0.504356757349E+04   
                          2000              -0.992421799005E+04               0.473308316084E+04              -0.519113482921E+04   
                          2100              -0.101263004114E+05               0.479779191241E+04              -0.532850849903E+04   
                          2200              -0.103069595978E+05               0.484967931263E+04              -0.545728028518E+04   
                          2300              -0.104699262545E+05               0.489119374292E+04              -0.557873251154E+04   
                          2400              -0.106182605601E+05               0.492427217448E+04              -0.569398838561E+04   
                          2500              -0.107545323242E+05               0.495048040274E+04              -0.580405192147E+04   
                          2600              -0.108808452213E+05               0.497109108789E+04              -0.590975413343E+04   
                          2700              -0.109988739556E+05               0.498712417341E+04              -0.601174978222E+04   
                          2800              -0.111099852594E+05               0.499941077679E+04              -0.611057448262E+04   
                          2900              -0.112153423640E+05               0.500867093710E+04              -0.620667142689E+04   
                          3000              -0.113158929939E+05               0.501555740498E+04              -0.630033558892E+04   
                          3100              -0.114122619159E+05               0.502062802599E+04              -0.639163388988E+04   
                          3200              -0.115047245898E+05               0.502427772177E+04              -0.648044686798E+04   
                          3300              -0.115933544676E+05               0.502671634085E+04              -0.656663812672E+04   
                          3400              -0.116782126833E+05               0.502802543239E+04              -0.665018725088E+04   
                          3500              -0.117594148020E+05               0.502823301657E+04              -0.673118178543E+04   
                          3600              -0.118371269979E+05               0.502736707511E+04              -0.680975992280E+04   
                          3700              -0.119115524378E+05               0.502548305570E+04              -0.688606938210E+04   
                          3800              -0.119829067334E+05               0.502266482651E+04              -0.696024190693E+04   
                          3900              -0.120513936009E+05               0.501900674910E+04              -0.703238685184E+04   
                          4000              -0.121172206281E+05               0.501460390238E+04              -0.710261672574E+04   
                          4100              -0.121806224097E+05               0.500956229571E+04              -0.717106011403E+04   
                          4200              -0.122418120970E+05               0.500398998316E+04              -0.723782211387E+04   
                          4300              -0.123009282497E+05               0.499796396031E+04              -0.730296428943E+04   
                          4400              -0.123580461877E+05               0.499151925217E+04              -0.736652693551E+04   
                          4500              -0.124132016651E+05               0.498465819807E+04              -0.742854346700E+04   
                          4600              -0.124664357199E+05               0.497737058456E+04              -0.748906513535E+04   
                          4700              -0.125178475243E+05               0.496966282143E+04              -0.754818470287E+04   
                          4800              -0.125676066551E+05               0.496158179112E+04              -0.760602486402E+04   
                          4900              -0.126158991468E+05               0.495321459312E+04              -0.766268455367E+04   
                          5000              -0.126628437104E+05               0.494464911818E+04              -0.771819459219E+04   
                          5100              -0.127085044405E+05               0.493594123096E+04              -0.777256320956E+04   
                          5200              -0.127529499910E+05               0.492712604197E+04              -0.782582394902E+04   
                          5300              -0.127962437123E+05               0.491823504170E+04              -0.787800867058E+04   
                          5400              -0.128384043000E+05               0.490929211234E+04              -0.792911218770E+04   
                          5500              -0.128794215111E+05               0.490030274581E+04              -0.797911876533E+04   
                          5600              -0.129193161997E+05               0.489126470377E+04              -0.802805149591E+04   
                          5700              -0.129581482436E+05               0.488218151010E+04              -0.807596673346E+04   
                          5800              -0.129959934834E+05               0.487306916127E+04              -0.812292432214E+04   
                          5900              -0.130329235634E+05               0.486395891669E+04              -0.816896464668E+04   
                          6000              -0.130689767664E+05               0.485488610754E+04              -0.821409065889E+04   
                          6100              -0.131041321497E+05               0.484586366323E+04              -0.825826848647E+04   
                          6200              -0.131383373510E+05               0.483687201027E+04              -0.830146534077E+04   
                          6300              -0.131715662542E+05               0.482788084211E+04              -0.834368541206E+04   
                          6400              -0.132038335402E+05               0.481886943271E+04              -0.838496410748E+04   
                          6500              -0.132351777931E+05               0.480982940208E+04              -0.842534839107E+04   
                          6600              -0.132656539426E+05               0.480076362024E+04              -0.846489032235E+04   
                          6700              -0.132953288519E+05               0.479168554433E+04              -0.850364330757E+04   
                          6800              -0.133242662906E+05               0.478261417281E+04              -0.854165211783E+04   
                          6900              -0.133525083155E+05               0.477356497309E+04              -0.857894334243E+04   
                          7000              -0.133800678923E+05               0.476454236380E+04              -0.861552552846E+04   
                          7100              -0.134069407546E+05               0.475553983742E+04              -0.865140091715E+04   
                          7200              -0.134331245695E+05               0.474654638998E+04              -0.868657817956E+04   
                          7300              -0.134586278185E+05               0.473755187686E+04              -0.872107594164E+04   
                          7400              -0.134834677460E+05               0.472854838384E+04              -0.875491936218E+04   
                          7500              -0.135076661189E+05               0.471952984019E+04              -0.878813627875E+04   
                          7600              -0.135312470580E+05               0.471049177349E+04              -0.882075528448E+04   
                          7700              -0.135542362542E+05               0.470143129957E+04              -0.885280495465E+04   
                          7800              -0.135766601594E+05               0.469234689014E+04              -0.888431326922E+04   
                          7900              -0.135985448251E+05               0.468323776861E+04              -0.891530705645E+04   
                          8000              -0.136199149649E+05               0.467410312943E+04              -0.894581183551E+04   
                          8100              -0.136407942766E+05               0.466494161642E+04              -0.897585266020E+04   
                          8200              -0.136612076931E+05               0.465575155997E+04              -0.900545613310E+04   
                          8300              -0.136811845243E+05               0.464653197177E+04              -0.903465255257E+04   
                          8400              -0.137007600380E+05               0.463728347151E+04              -0.906347656647E+04   
                          8500              -0.137199742107E+05               0.462800823849E+04              -0.909196597222E+04   
                          8600              -0.137388692580E+05               0.461870908947E+04              -0.912016016852E+04   
                          8700              -0.137574892983E+05               0.460938909516E+04              -0.914810020315E+04   
                          8800              -0.137758851001E+05               0.460005415822E+04              -0.917583094190E+04   
                          8900              -0.137941246264E+05               0.459072191774E+04              -0.920340270871E+04   
                          9000              -0.138122991449E+05               0.458143853356E+04              -0.923086061133E+04   
                          9100              -0.138304810023E+05               0.457228593636E+04              -0.925819506599E+04   
                          9200              -0.138486195878E+05               0.456334025133E+04              -0.928527933646E+04   
                          9300              -0.138665510221E+05               0.455461744355E+04              -0.931193357857E+04   
                          9400              -0.138841477635E+05               0.454608594417E+04              -0.933806181936E+04   
                          9500              -0.139013665437E+05               0.453769931610E+04              -0.936366722756E+04   
                          9600              -0.139182094198E+05               0.452940970478E+04              -0.938879971500E+04   
                          9700              -0.139346967209E+05               0.452117429218E+04              -0.941352242871E+04   
                          9800              -0.139508594092E+05               0.451295934923E+04              -0.943790006000E+04   
                          9900              -0.139667394524E+05               0.450474305836E+04              -0.946199639409E+04   
                         10000              -0.139823935275E+05               0.449651995524E+04              -0.948587357222E+04   
