1    0.6024179214527371 0.14745193757473762 65766.0    6.9269575438321525	1400000 254
2    0.8602547919014187 0.28840598275334506 74000.0    9.062499554615489	1390337 249
3    0.5885841135867865 0.14968294670696602 67982.0    9.07128649691162	1400000 251
4    0.6150444100108676 0.21004284525061642 62000.0    9.312653821047585	1400000 245
5    0.8293689449635794 0.3816428313184198 48000.0    9.434238911314466	1428712 241
6    0.817467509115115 0.3720004324883741 45798.0    9.852898811377804	1425018 242
7    0.609498730200211 0.20016845024239274 62562.0    11.608072732870728	1400000 251
8    0.5970789937576857 0.21279018362294064 64896.0    12.057006432975054	1500000 250
9    0.8424147716737993 0.3720756567303835 45946.0    12.279389283455519	1382975 242
10    0.6024179214527371 0.14745193757473762 67832.0    16.50418038458474	1400000 255
11    0.6055742209929539 0.15363517170367513 61755.0    12.193580925041568	1300000 241
12    0.5885841135867865 0.14968294670696602 63874.0    19.629019094756696	1400000 251
13    0.6318731072640906 0.1546031045068672 67516.0    9.661233054500242	1300000 252
14    0.5946094883004905 0.14838002855472252 65313.0    7.859533573627534	1400000 252
15    0.5873437444339313 0.15447730537751647 63983.0    8.426453219096164	1400000 253
16    0.887485778031214 0.27526471888475285 73090.0    21.520128823255614	1349894 249
17    0.8524981201004603 0.274847631870012 74251.0    12.794991597760275	1404897 250
18    0.8351267927378618 0.2921783027401589 71729.0    12.032990710060362	1427861 248
19    0.597842437517132 0.1459306349471718 68889.0    9.621359306850545	1400000 252
20    0.6176086078188975 0.14266191884356483 64872.0    14.687908354022252	1300000 240
21    0.580137937597419 0.1459011314814081 69558.0    10.075996446550922	1400000 244
22    0.5958499884873676 0.20191914810733905 60050.0    12.924013613988146	1400000 244
23    0.6267106070226003 0.21815452287205084 62754.0    5.468266152853348	1400000 240
24    0.601465735631676 0.21405106391579612 59517.0    12.298213147699832	1500000 251
25    0.8381637235921044 0.3648877276730182 46778.0    13.381193843514286	1376894 244
26    0.8018831069829612 0.39741681574828547 45820.0    21.970352091047523	1533194 234
27    0.851425918184332 0.3708348553441589 48648.0    14.329591801110986	1365821 242
28    0.8531431161126842 0.37910297064808707 45438.0    10.68975927891023	1382046 241
29    0.8527937982402942 0.36374198962668003 44006.0    11.908354101609119	1351601 246
30    0.7784501364376762 0.3876789098975831 47577.0    21.389332800025254	1541993 237
31    0.6064065919197257 0.1985524640660266 65225.0    9.17327239479391	1400000 251
32    0.6214056331488416 0.197617449837306 62838.0    9.755785706104074	1300000 241
33    0.6043493235697992 0.1966020764485401 62422.0    14.713767768990797	1400000 252
34    0.6152769993205135 0.21108593226726988 62211.0    6.053060116848718	1400000 243
35    0.6140729705445868 0.21699041606999592 62325.0    10.805220550678277	1500000 252
36    0.5971230464633143 0.21532054142902465 63483.0    10.970692314757867	1500000 248
37    0.8421838830462558 0.37315423504325523 47731.0    8.092799156933399	1385665 242
38    0.8651760966122253 0.35460155630610146 47967.0    9.286166784044385	1322768 247
39    0.8562164875189929 0.3636663421182325 46746.0    12.867021025920266	1346092 246
0    0.5953111862000046 0.14901596989597438 65000.0    5.2026795558182775	1400000 253
1    0.6267106070226003 0.21815452287205084 62754.0    5.468266152853348	1400000 240
2    0.6152769993205135 0.21108593226726988 62211.0    6.053060116848718	1400000 243
3    0.6024179214527371 0.14745193757473762 65766.0    6.9269575438321525	1400000 254
4    0.5946094883004905 0.14838002855472252 65313.0    7.859533573627534	1400000 252
5    0.8421838830462558 0.37315423504325523 47731.0    8.092799156933399	1385665 242
6    0.5873437444339313 0.15447730537751647 63983.0    8.426453219096164	1400000 253
