                     Time-step                Free-energy: Bulk           Free-energy: Interface               Free-energy: Total   
------------------------------   ------------------------------   ------------------------------   ------------------------------   
                             0              -0.378003240078E+04               0.450921243256E+04               0.729180031780E+03   
                         10000              -0.617902450760E+03               0.341434243532E+03              -0.276468207228E+03   
                         20000              -0.740435831611E+03               0.360766696573E+03              -0.379669135038E+03   
                         30000              -0.968169408912E+03               0.450341920227E+03              -0.517827488685E+03   
                         40000              -0.129400739021E+04               0.591059153024E+03              -0.702948237181E+03   
                         50000              -0.172785957429E+04               0.785458921512E+03              -0.942400652780E+03   
                         60000              -0.227575006820E+04               0.103740607489E+04              -0.123834399332E+04   
                         70000              -0.293171602559E+04               0.134647050202E+04              -0.158524552357E+04   
                         80000              -0.367394977328E+04               0.170483859646E+04              -0.196911117682E+04   
                         90000              -0.446642467059E+04               0.209661234936E+04              -0.236981232123E+04   
                        100000              -0.526619606142E+04               0.250014428638E+04              -0.276605177504E+04   
                        110000              -0.603336444510E+04               0.289278412778E+04              -0.314058031732E+04   
                        120000              -0.673893140139E+04               0.325586740863E+04              -0.348306399275E+04   
                        130000              -0.736753213335E+04               0.357765237382E+04              -0.378987975954E+04   
                        140000              -0.791559770233E+04               0.385348750967E+04              -0.406211019266E+04   
                        150000              -0.838751780066E+04               0.408417067846E+04              -0.430334712220E+04   
                        160000              -0.879187787692E+04               0.427381130845E+04              -0.451806656847E+04   
                        170000              -0.913869339982E+04               0.442799054130E+04              -0.471070285852E+04   
                        180000              -0.943774596227E+04               0.455252381317E+04              -0.488522214910E+04   
                        190000              -0.969769503429E+04               0.465277216535E+04              -0.504492286894E+04   
                        200000              -0.992574178212E+04               0.473333371220E+04              -0.519240806992E+04   
                        210000              -0.101277139136E+05               0.479800488185E+04              -0.532970903179E+04   
                        220000              -0.103082792747E+05               0.484986314994E+04              -0.545841612475E+04   
                        230000              -0.104711653337E+05               0.489135405252E+04              -0.557981128116E+04   
                        240000              -0.106194307766E+05               0.492441311851E+04              -0.569501765813E+04   
                        250000              -0.107556435032E+05               0.495060534396E+04              -0.580503815923E+04   
                        260000              -0.108819044732E+05               0.497120237783E+04              -0.591070209535E+04   
                        270000              -0.109998864161E+05               0.498722325428E+04              -0.601266316180E+04   
                        280000              -0.111109554561E+05               0.499949888242E+04              -0.611145657364E+04   
                        290000              -0.112162745918E+05               0.500874982214E+04              -0.620752476964E+04   
                        300000              -0.113167899568E+05               0.501562931751E+04              -0.630116063925E+04   
                        310000              -0.114131236172E+05               0.502069462792E+04              -0.639242898926E+04   
                        320000              -0.115055496071E+05               0.502433919594E+04              -0.648121041113E+04   
                        330000              -0.115941419168E+05               0.502677163082E+04              -0.656737028596E+04   
                        340000              -0.116789628622E+05               0.502807313318E+04              -0.665088972900E+04   
                        350000              -0.117601288291E+05               0.502827204542E+04              -0.673185678371E+04   
                        360000              -0.118378066928E+05               0.502739702268E+04              -0.681040967008E+04   
                        370000              -0.119122002937E+05               0.502550430221E+04              -0.688669599154E+04   
                        380000              -0.119835254826E+05               0.502267836942E+04              -0.696084711318E+04   
                        390000              -0.120519855675E+05               0.501901374387E+04              -0.703297182368E+04   
                        400000              -0.121177877343E+05               0.501460540231E+04              -0.710318233202E+04   
                        410000              -0.121811662371E+05               0.500955927200E+04              -0.717160696511E+04   
                        420000              -0.122423333845E+05               0.500398300707E+04              -0.723835037740E+04   
                        430000              -0.123014271555E+05               0.499795293781E+04              -0.730347421765E+04   
                        440000              -0.123585226137E+05               0.499150351158E+04              -0.736701910217E+04   
                        450000              -0.124136552289E+05               0.498463657041E+04              -0.742901865850E+04   
                        460000              -0.124668662415E+05               0.497734169757E+04              -0.748952454395E+04   
                        470000              -0.125182555481E+05               0.496962557539E+04              -0.754862997270E+04   
                        480000              -0.125679934819E+05               0.496153575270E+04              -0.760645772921E+04   
                        490000              -0.126162662476E+05               0.495315998922E+04              -0.766310625834E+04   
                        500000              -0.126631924949E+05               0.494458646342E+04              -0.771860603144E+04   
                        510000              -0.127088369730E+05               0.493587131079E+04              -0.777296566223E+04   
                        520000              -0.127532689733E+05               0.492705012476E+04              -0.782621884849E+04   
                        530000              -0.127965516442E+05               0.491815479352E+04              -0.787839685070E+04   
                        540000              -0.128387028124E+05               0.490920911157E+04              -0.792949370082E+04   
                        550000              -0.128797116898E+05               0.490021814671E+04              -0.797949354312E+04   
                        560000              -0.129195989342E+05               0.489117926675E+04              -0.802841966745E+04   
                        570000              -0.129584244617E+05               0.488209584589E+04              -0.807632861577E+04   
                        580000              -0.129962646912E+05               0.487298414762E+04              -0.812328054359E+04   
                        590000              -0.130331919790E+05               0.486387591278E+04              -0.816931606623E+04   
                        600000              -0.130692447152E+05               0.485480664803E+04              -0.821443806718E+04   
                        610000              -0.131044016463E+05               0.484578901060E+04              -0.825861263572E+04   
                        620000              -0.131386102541E+05               0.483680314777E+04              -0.830180710636E+04   
                        630000              -0.131718437742E+05               0.482781849132E+04              -0.834402528289E+04   
                        640000              -0.132041151020E+05               0.481881367094E+04              -0.838530143106E+04   
                        650000              -0.132354606192E+05               0.480977933103E+04              -0.842568128822E+04   
                        660000              -0.132659338026E+05               0.480071751011E+04              -0.846521629247E+04   
                        670000              -0.132956012742E+05               0.479164131498E+04              -0.850395995921E+04   
                        680000              -0.133245275101E+05               0.478256987206E+04              -0.854195763804E+04   
                        690000              -0.133527557134E+05               0.477351906016E+04              -0.857923665324E+04   
                        700000              -0.133803000772E+05               0.476449380976E+04              -0.861580626743E+04   
                        710000              -0.134071574751E+05               0.475548812614E+04              -0.865166934891E+04   
                        720000              -0.134333264840E+05               0.474649144441E+04              -0.868683503962E+04   
                        730000              -0.134588161589E+05               0.473749392369E+04              -0.872132223519E+04   
                        740000              -0.134836439897E+05               0.472848780704E+04              -0.875515618269E+04   
                        750000              -0.135078317485E+05               0.471946706722E+04              -0.878836468124E+04   
                        760000              -0.135314034202E+05               0.471042720702E+04              -0.882097621316E+04   
                        770000              -0.135543845079E+05               0.470136528936E+04              -0.885301921853E+04   
                        780000              -0.135768013055E+05               0.469227974049E+04              -0.888452156504E+04   
                        790000              -0.135986798084E+05               0.468316977880E+04              -0.891551002964E+04   
                        800000              -0.136200447984E+05               0.467403465410E+04              -0.894601014427E+04   
                        810000              -0.136409201155E+05               0.466487311803E+04              -0.897604699743E+04   
                        820000              -0.136613308271E+05               0.465568363100E+04              -0.900564719612E+04   
                        830000              -0.136813063326E+05               0.464646533641E+04              -0.903484099624E+04   
                        840000              -0.137008819545E+05               0.463721899162E+04              -0.906366296292E+04   
                        850000              -0.137200976581E+05               0.462794691741E+04              -0.909215074069E+04   
                        860000              -0.137389954291E+05               0.461865201965E+04              -0.912034340950E+04   
                        870000              -0.137576186879E+05               0.460933728088E+04              -0.914828140704E+04   
                        880000              -0.137760168253E+05               0.460000819127E+04              -0.917600863401E+04   
                        890000              -0.137942558290E+05               0.459068161060E+04              -0.920357421842E+04   
                        900000              -0.138124249546E+05               0.458140277685E+04              -0.923102217773E+04   
                        910000              -0.138305950644E+05               0.457225290954E+04              -0.925834215483E+04   
                        920000              -0.138487145550E+05               0.456330756009E+04              -0.928540699494E+04   
                        930000              -0.138666192695E+05               0.455458212197E+04              -0.931203714756E+04   
                        940000              -0.138841823646E+05               0.454604476602E+04              -0.933813759857E+04   
                        950000              -0.139013624891E+05               0.453764941548E+04              -0.936371307365E+04   
                        960000              -0.139181649090E+05               0.452934921817E+04              -0.938881569087E+04   
                        970000              -0.139346138586E+05               0.452110274593E+04              -0.941351111265E+04   
                        980000              -0.139507439093E+05               0.451287766783E+04              -0.943786624149E+04   
                        990000              -0.139665994405E+05               0.450465321778E+04              -0.946194622269E+04   
                       1000000              -0.139822379569E+05               0.449642449956E+04              -0.948581345730E+04   
