20    0.7827471159649366 0.6738179132498897 9862.0    30.24141992709182	2264574 161
21    0.7352573972696038 0.6891172974015748 10147.0    32.54338983335999	2383251 161
22    0.39174222072639625 0.44066830487178976 2992.0    34.72723678378418	3545828 213
23    0.41203156782980493 0.4761003832238664 2938.0    30.817844575543184	3480040 206
24    0.3954342997728926 0.46714499529105635 3067.0    38.717282339347975	3628784 206
25    0.8776812578826052 0.6719979274263068 55348.0    32.52339344269511	2022476 161
26    0.8396900918061242 0.7319053403367131 58849.0    30.365032681567886	2113671 157
27    0.8915687351192779 0.6829504949314751 59194.0    32.0680627966601	1973991 160
28    0.18976505521807058 0.1789210125899024 5179.0    45.091885829746985	4400000 254
29    0.18968735626687377 0.17167126122544868 5059.0    40.80347500346004	4400000 255
30    0.17315105793586316 0.18296850325399872 4946.0    40.882792670347825	4800000 250
31    0.36123131332025216 0.6023568039072488 18201.0    32.145931966590325	4518125 175
32    0.3701661161966288 0.5995202126563205 17974.0    32.8670728257111	4370509 177
33    0.3600058158441388 0.596439832505379 18331.0    40.26054338132763	4451258 178
34    0.4568440257694048 0.3708817700666201 93235.0    35.007385058650364	2545671 241
35    0.4559500327325384 0.38125605403980306 88083.0    34.71608501827728	2596806 238
36    0.4433646905820503 0.37832205433655136 95183.0    33.56590153781167	2655525 240
37    0.582464638342478 0.4785656049799639 80111.0    33.03946642510458	2459655 209
38    0.5983663334817328 0.45477202824937774 78176.0    35.56616743431378	2379441 210
39    0.5921697586300471 0.4663975018439449 78283.0    32.89812948991549	2422846 209
0    0.16694703707407466 0.5344209616376308 84000.0    15.76721694601667	7500000 174
1    0.16894002565083385 0.5288118201628534 81901.0    23.84009515214275	7500000 178
2    0.2674429391055325 0.7214270004061741 54000.0    25.14212030908831	6549124 150
3    0.40791223038018776 0.3689773954675625 95000.0    27.195499255787546	2843454 242
4    0.1650605197920332 0.5368129629041325 80120.0    27.809157041992588	7900000 181
5    0.7459619435031115 0.7069794912108168 10000.0    29.434552628371147	2334122 161
6    0.4043616139603593 0.4583974597487548 3000.0    29.801498559008195	3533629 208
7    0.8684718252237904 0.7028550762685736 57000.0    30.170253898708715	2005600 161
8    0.7827471159649366 0.6738179132498897 9862.0    30.24141992709182	2264574 161
9    0.8396900918061242 0.7319053403367131 58849.0    30.365032681567886	2113671 157
10    0.16894002565083385 0.5288118201628534 85654.0    14.964092487554034	7600000 180
11    0.16982516752045163 0.5509869597235607 80179.0    27.844315317973887	7400000 168
12    0.1650605197920332 0.5368129629041325 87489.0    25.894408619652133	7700000 175
13    0.17720033741997923 0.5544582895403826 78774.0    31.140352445202613	7400000 174
14    0.16675025531025003 0.5321402639152712 81450.0    4.114192829675854	7800000 181
15    0.1647126749005756 0.5540071319112524 83918.0    21.897048456524494	7600000 165
16    0.2759087274206402 0.6885550659069077 52850.0    23.41730737759457	6353350 152
17    0.26503148249563657 0.6875117524808816 54003.0    22.476389601900294	6618722 152
18    0.2596309443181636 0.7308631898592439 52401.0    240002.73712571524	6824221 147
19    0.4143286175656917 0.35972772307287315 92504.0    38.274947015814845	2771579 244
20    0.4280273607491143 0.3516701428276571 96327.0    30.895037594826878	2670286 245
21    0.40205869406061046 0.3596549952692438 95600.0    37.9386321729619	2855992 244
